AFG|13.04
AGO|21.77
ALB|12.44
AND|8.27
ARE|28.17
ARG|16.3
ARM|7.82
ATG|27.2
AUS|22.05
AUT|7.44
AZE|12.96
BDI|20.51
BEL|10.67
BEN|28.02
BFA|30.4
BGD|25.71
BGR|11.35
BHR|27.69
BHS|25.58
BIH|10.35
BLR|7.45
BLZ|25.7
BOL|20.76
BRA|25.44
BRB|26.61
BRN|26.95
BTN|10.38
BWA|22.09
CAF|25.47
CAN|-4.03
CHE|6.47
CHL|9.39
CHN|7.59
CIV|26.8
CMR|24.8
COD|24.35
COG|24.74
COL|25
COM|23.73
CPV|22.53
CRI|24.83
CUB|25.81
CYP|20.01
CZE|8.6
DEU|9.59
DJI|28.49
DMA|26.83
DNK|8.9
DOM|24.55
DZA|23.6
ECU|21.43
EGY|23.14
ERI|26.63
ESP|13.07
EST|6.34
ETH|23.36
FIN|2.46
FJI|24.68
FRA|11.65
FSM|27.28
GAB|25.2
GBR|9.24
GEO|9.01
GHA|27.66
GIN|25.86
GMB|28.38
GNB|27.98
GNQ|24.66
GRC|13.17
GRD|26.49
GTM|23.65
GUY|26.12
HND|24.72
HRV|11.96
HTI|24.95
HUN|11.5
IDN|25.96
IND|24.94
IRL|9.73
IRN|18.34
IRQ|22.95
ISL|1.85
ISR|20.0
ITA|13.02
JAM|25.91
JOR|20.05
JPN|11.78
KAZ|7.11
KEN|25.08
KGZ|2.65
KHM|27.41
KIR|27.77
KNA|27.47
KOR|12.22
KWT|26.31
LAO|24.16
LBN|15.45
LBR|25.45
LBY|22.81
LCA|27
LIE|7.55
LKA|27.25
LSO|12.38
LTU|7.38
LUX|10.02
LVA|6.87
MAR|18.14
MCO|13.05
MDA|10.89
MDG|22.64
MDV|28.11
MEX|21.31
MHL|28.01
MKD|10.79
MLI|29.21
MLT|20.06
MMR|23.82
MNE|9.93
MNG|1.07
MOZ|24.41
MRT|28.82
MUS|23.33
MWI|22.66
MYS|26.38
NAM|20.45
NER|28.04
NGA|27.3
NIC|25.88
NLD|10.49
NOR|2.21
NPL|14.5
NRU|27.83
NZL|10.46
OMN|27.64
PAK|21.38
PAN|25.6
PER|20.07
PHL|27.1
PLW|27.9
PNG|24.74
POL|8.78
PRK|6.98
PRT|15.85
PRY|23.92
PSE|20.25
QAT|28.02
ROU|10.18
RUS|-3.79
RWA|20.03
SAU|25.94
SDN|27.95
SEN|28.9
SGP|27.68
SLB|25.92
SLE|26.54
SLV|25.23
SMR|12.83
SOM|26.95
SRB|11.4
SSD|27.97
STP|24.49
SUR|26.58
SVK|8.83
SVN|9.86
SWE|3.23
SWZ|20.64
SYC|27.09
SYR|18.75
TCD|27.63
TGO|27.33
THA|26.85
TJK|3.85
TKM|16.66
TLS|24.57
TON|25.01
TTO|26.55
TUN|20.53
TUR|11.66
TUV|28.62
TZA|22.92
UGA|23.25
UKR|9.27
URY|17.97
USA|9.46
UZB|13.06
VAT|15.2
VCT|26.17
VEN|25.71
VNM|24.79
VUT|24.44
WSM|27.58
YEM|25.54
ZAF|18.23
ZMB|22.23
ZWE|21.9
